Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Region,City,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Payment_Method,Customer_Segment,Year,Month,Month_Name,Quarter,Profit_Margin_Pct
ORD000192,2025-01-01,C0087,George Thomas,P004,Bluetooth Speaker,Electronics,North East,Middlesbrough,1,88.4,0.05,83.98,49.28,34.7,Credit Card,Small Business,2025,1,Jan,Q1,41.31936175279829
ORD000522,2025-01-01,C0166,Evie Davies,P005,Mechanical Keyboard,Electronics,South West,Bristol,1,117.61,0.05,111.73,63.92,47.81,Credit Card,Small Business,2025,1,Jan,Q1,42.790656045824754
ORD000754,2025-01-01,C0474,Ethan Edwards,P025,Toaster,Home Appliances,South East,Oxford,2,38.76,0.05,73.64,39.2,34.44,Debit Card,Consumer,2025,1,Jan,Q1,46.768060836501895
ORD001013,2025-01-01,C0230,Ella Brown,P021,Coffee Machine,Home Appliances,South West,Bristol,1,192.02,0.0,192.02,113.71,78.31,Credit Card,Consumer,2025,1,Jan,Q1,40.78221018643891
ORD001159,2025-01-01,C0574,Noah Wright,P029,Travel Bag,Accessories,London,London,3,108.72,0.0,326.16,160.14,166.02,Bank Transfer,Corporate,2025,1,Jan,Q1,50.90139808682855
ORD001662,2025-01-01,C0635,Emily Brown,P009,Office Chair,Furniture,North West,Preston,2,240.77,0.0,481.54,286.32,195.22,Debit Card,Consumer,2025,1,Jan,Q1,40.54076504547909
ORD001686,2025-01-01,C0356,Oliver Wilson,P026,Blender,Home Appliances,London,London,1,68.85,0.15,58.52,34.87,23.65,Credit Card,Consumer,2025,1,Jan,Q1,40.41353383458646
ORD002313,2025-01-01,C0023,Lily Wright,P012,Bookshelf,Furniture,South West,Bristol,1,183.56,0.0,183.56,105.63,77.93,Debit Card,Consumer,2025,1,Jan,Q1,42.45478317716279
ORD002382,2025-01-01,C0008,Ava Clarke,P001,Laptop Pro 14,Electronics,North East,Sunderland,1,956.39,0.0,956.39,695.48,260.91,PayPal,Consumer,2025,1,Jan,Q1,27.28071184349481
ORD002631,2025-01-01,C0434,Lily Hall,P019,Fitness Tracker,Sports,London,London,3,126.56,0.05,360.7,210.3,150.4,Debit Card,Consumer,2025,1,Jan,Q1,41.69670085943998
ORD002679,2025-01-01,C0705,Amelia Lewis,P006,Wireless Mouse,Electronics,West Midlands,Coventry,4,49.01,0.05,186.24,97.84,88.4,Credit Card,Consumer,2025,1,Jan,Q1,47.465635738831615
ORD002867,2025-01-01,C0870,Amelia Lewis,P010,Standing Desk,Furniture,North West,Preston,1,500.82,0.0,500.82,310.04,190.78,Debit Card,Consumer,2025,1,Jan,Q1,38.09352661634919
ORD003670,2025-01-01,C0066,Mia Hughes,P008,USB-C Hub,Electronics,East Midlands,Nottingham,1,57.8,0.2,46.24,29.65,16.59,Credit Card,Consumer,2025,1,Jan,Q1,35.878027681660896
ORD003889,2025-01-01,C0746,Isla Evans,P011,Desk Lamp,Furniture,London,London,4,72.76,0.0,291.04,131.4,159.64,Debit Card,Consumer,2025,1,Jan,Q1,54.851566794942265
ORD004462,2025-01-01,C0596,Noah Wilson,P023,Robot Vacuum,Home Appliances,Yorkshire,Leeds,1,336.08,0.0,336.08,218.44,117.64,Debit Card,Consumer,2025,1,Jan,Q1,35.00357057843371
ORD005115,2025-01-01,C0169,Isla Clarke,P009,Office Chair,Furniture,South East,Oxford,1,261.17,0.0,261.17,144.56,116.61,PayPal,Consumer,2025,1,Jan,Q1,44.64907914385266
ORD005818,2025-01-01,C0873,Sophia Evans,P025,Toaster,Home Appliances,South East,Reading,5,37.37,0.0,186.85,100.35,86.5,Debit Card,Small Business,2025,1,Jan,Q1,46.293818571046295
ORD006133,2025-01-01,C0368,Mason Taylor,P026,Blender,Home Appliances,West Midlands,Coventry,1,67.35,0.0,67.35,36.68,30.67,Debit Card,Corporate,2025,1,Jan,Q1,45.53823311061619
ORD006755,2025-01-01,C0865,Sophia Green,P003,Wireless Headphones,Electronics,North East,Middlesbrough,2,149.69,0.2,239.5,171.3,68.2,Debit Card,Corporate,2025,1,Jan,Q1,28.47599164926931
ORD007268,2025-01-01,C0657,Chloe Edwards,P008,USB-C Hub,Electronics,London,London,2,59.21,0.1,106.58,57.6,48.98,Credit Card,Consumer,2025,1,Jan,Q1,45.95608932257459
ORD007921,2025-01-01,C0148,Muhammad Wright,P025,Toaster,Home Appliances,North West,Liverpool,2,38.04,0.05,72.28,39.5,32.78,Credit Card,Corporate,2025,1,Jan,Q1,45.35141117874931
ORD008004,2025-01-01,C0204,James Clarke,P029,Travel Bag,Accessories,West Midlands,Wolverhampton,2,106.05,0.05,201.49,102.9,98.59,Credit Card,Corporate,2025,1,Jan,Q1,48.93046801330091
ORD008072,2025-01-01,C0913,Noah Lewis,P028,Leather Wallet,Accessories,North West,Liverpool,1,55.87,0.05,53.08,24.98,28.1,PayPal,Consumer,2025,1,Jan,Q1,52.93896006028637
