Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Region,City,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Payment_Method,Customer_Segment
ORD000001,2025-10-30,C0655,Leo Johnson,P023,Robot Vacuum,Home Appliances,Yorkshire,Sheffield,2,331.98,0.05,630.76,431.4,199.36,Debit Card,Consumer
ORD000002,2025-10-26,C0718,Amelia Jones,P013,Filing Cabinet,Furniture,London,London,5,142.06,0.05,674.78,414.8,259.98,Credit Card,Consumer
ORD000003,2025-09-15,C0403,Thomas Walker,P007,4K Monitor,Electronics,East of England,Cambridge,1,402.68,0.15,342.28,251.33,90.95,Credit Card,Corporate
ORD000004,2025-11-15,C0277,James Clarke,P012,Bookshelf,Furniture,North East,Sunderland,1,184.47,0.15,156.8,104.76,52.04,Debit Card,Consumer
ORD000005,2025-11-01,C0760,Grace Hall,P002,Laptop Air 13,Electronics,East of England,Norwich,1,807.24,0.05,766.88,563.62,203.26,Debit Card,Consumer
ORD000006,2025-10-20,C0367,Liam Roberts,P014,Office Desk,Furniture,South West,Plymouth,1,334.07,0.0,334.07,198.3,135.77,Debit Card,Consumer
ORD000007,2025-03-01,C0687,Ella Lewis,P017,Yoga Mat,Sports,South East,Brighton,3,39.72,0.05,113.2,54.45,58.75,Debit Card,Consumer
ORD000008,2025-11-16,C0436,Jack Lewis,P007,4K Monitor,Electronics,South West,Bristol,4,407.69,0.1,1467.68,1023.44,444.24,Debit Card,Consumer
ORD000009,2025-03-30,C0805,Charlie Thomas,P015,Running Shoes,Sports,North East,Middlesbrough,1,114.66,0.05,108.93,64.69,44.24,Bank Transfer,Consumer
ORD000010,2025-07-08,C0506,Freya Wright,P005,Mechanical Keyboard,Electronics,London,London,3,116.42,0.05,331.8,197.82,133.98,Credit Card,Small Business
ORD000011,2025-08-17,C0080,Mason Walker,P019,Fitness Tracker,Sports,North West,Preston,1,131.29,0.0,131.29,72.86,58.43,Debit Card,Consumer
ORD000012,2025-01-14,C0348,Emily Hall,P011,Desk Lamp,Furniture,South East,Oxford,1,66.8,0.0,66.8,31.46,35.34,Credit Card,Consumer
ORD000013,2025-01-27,C0856,Grace Davies,P016,Training Shoes,Sports,South East,Oxford,1,97.94,0.1,88.15,53.13,35.02,PayPal,Consumer
ORD000014,2025-09-22,C0410,Lily Wright,P004,Bluetooth Speaker,Electronics,Yorkshire,Leeds,1,88.19,0.1,79.37,47.73,31.64,Debit Card,Consumer
ORD000015,2025-10-13,C0697,Isla Edwards,P017,Yoga Mat,Sports,London,London,1,39.47,0.0,39.47,18.12,21.35,Credit Card,Consumer
ORD000016,2025-07-04,C0167,Thomas Thompson,P017,Yoga Mat,Sports,South East,Southampton,1,37.35,0.05,35.48,17.61,17.87,Debit Card,Consumer
ORD000017,2025-02-24,C0339,Jack Thompson,P026,Blender,Home Appliances,Wales,Newport,1,68.35,0.0,68.35,35.68,32.67,Credit Card,Consumer
ORD000018,2025-11-01,C0262,Grace Wright,P006,Wireless Mouse,Electronics,East of England,Norwich,2,47.84,0.15,81.33,47.76,33.57,Debit Card,Consumer
ORD000019,2025-07-07,C0705,Amelia Lewis,P016,Training Shoes,Sports,South East,Reading,3,97.53,0.05,277.96,155.55,122.41,Debit Card,Consumer
ORD000020,2025-10-25,C0493,Muhammad Hughes,P019,Fitness Tracker,Sports,East of England,Norwich,1,134.17,0.0,134.17,71.74,62.43,Credit Card,Small Business
ORD000021,2025-02-08,C0758,Olivia Hall,P017,Yoga Mat,Sports,London,London,1,39.81,0.0,39.81,18.1,21.71,Credit Card,Consumer
ORD000022,2025-02-17,C0176,Charlie Evans,P029,Travel Bag,Accessories,London,London,2,107.94,0.05,205.09,101.86,103.23,Debit Card,Small Business
ORD000023,2025-08-27,C0295,Ella Edwards,P009,Office Chair,Furniture,Scotland,Aberdeen,4,250.95,0.0,1003.8,587.28,416.52,Credit Card,Consumer
ORD000024,2025-07-19,C0672,George Wilson,P017,Yoga Mat,Sports,Scotland,Glasgow,1,36.92,0.0,36.92,18.07,18.85,Debit Card,Small Business
ORD000025,2025-05-22,C0546,Thomas Thompson,P005,Mechanical Keyboard,Electronics,East of England,Cambridge,3,122.17,0.15,311.53,195.45,116.08,Debit Card,Consumer
ORD000026,2025-03-05,C0303,George Jones,P024,Electric Kettle,Home Appliances,London,London,4,48.93,0.15,166.36,102.64,63.72,Debit Card,Small Business
ORD000027,2025-10-28,C0321,Sophia Jones,P001,Laptop Pro 14,Electronics,Wales,Swansea,2,974.9,0.05,1852.31,1424.34,427.97,Debit Card,Small Business
ORD000028,2025-06-06,C0310,Ella Johnson,P013,Filing Cabinet,Furniture,Yorkshire,Sheffield,2,142.24,0.0,284.48,164.94,119.54,Credit Card,Small Business
ORD000029,2025-07-29,C0906,Ethan Edwards,P003,Wireless Headphones,Electronics,Scotland,Edinburgh,2,147.31,0.0,294.62,166.88,127.74,Debit Card,Corporate
ORD000030,2025-12-30,C0152,Muhammad Jones,P030,Smart Watch,Accessories,North East,Newcastle,2,228.32,0.1,410.98,271.16,139.82,Debit Card,Consumer
ORD000031,2025-05-16,C0023,Lily Wright,P013,Filing Cabinet,Furniture,North West,Liverpool,1,140.49,0.0,140.49,83.89,56.6,Credit Card,Consumer
ORD000032,2025-04-25,C0006,James Hall,P008,USB-C Hub,Electronics,South East,Reading,1,61.54,0.1,55.39,28.92,26.47,Debit Card,Consumer
ORD000033,2025-03-22,C0368,Mason Taylor,P005,Mechanical Keyboard,Electronics,Wales,Swansea,3,116.34,0.2,279.22,196.89,82.33,Credit Card,Corporate
ORD000034,2025-12-24,C0500,Noah Roberts,P005,Mechanical Keyboard,Electronics,London,London,1,123.19,0.2,98.55,65.09,33.46,Debit Card,Consumer
ORD000035,2025-09-27,C0970,Sophie Walker,P021,Coffee Machine,Home Appliances,West Midlands,Coventry,3,192.94,0.0,578.82,340.47,238.35,PayPal,Consumer
ORD000036,2025-11-08,C0026,Jacob Hall,P006,Wireless Mouse,Electronics,North West,Manchester,2,48.41,0.0,96.82,47.76,49.06,PayPal,Consumer
ORD000037,2025-07-19,C0509,Grace White,P006,Wireless Mouse,Electronics,Scotland,Aberdeen,3,48.15,0.1,130.0,71.76,58.24,Debit Card,Small Business
ORD000038,2025-08-13,C0149,Amelia Hall,P006,Wireless Mouse,Electronics,London,London,1,49.28,0.0,49.28,24.91,24.37,Credit Card,Consumer
ORD000039,2025-08-29,C0182,James Brown,P014,Office Desk,Furniture,Yorkshire,Leeds,3,324.14,0.05,923.8,587.76,336.04,Debit Card,Small Business
ORD000040,2025-02-19,C0288,Ava Roberts,P007,4K Monitor,Electronics,Yorkshire,York,1,397.38,0.0,397.38,250.94,146.44,Debit Card,Consumer
ORD000041,2025-11-27,C0754,Noah Thomas,P012,Bookshelf,Furniture,East of England,Norwich,1,184.03,0.2,147.22,104.85,42.37,Debit Card,Consumer
ORD000042,2025-11-27,C0275,Lucas Wilson,P004,Bluetooth Speaker,Electronics,South East,Brighton,1,86.56,0.1,77.9,49.32,28.58,Credit Card,Consumer
ORD000043,2025-02-18,C0882,Olivia Green,P001,Laptop Pro 14,Electronics,East Midlands,Nottingham,5,1042.17,0.1,4689.77,3546.7,1143.07,Credit Card,Consumer
ORD000044,2025-03-07,C0916,Amelia Hughes,P008,USB-C Hub,Electronics,London,London,1,58.8,0.05,55.86,28.4,27.46,PayPal,Consumer
ORD000045,2025-01-10,C0710,Thomas Edwards,P001,Laptop Pro 14,Electronics,London,London,1,1010.78,0.05,960.24,730.94,229.3,Credit Card,Consumer
ORD000046,2025-06-14,C0829,Jacob Wilson,P028,Leather Wallet,Accessories,West Midlands,Coventry,1,57.94,0.0,57.94,25.12,32.82,PayPal,Consumer
ORD000047,2025-03-23,C0890,Emily Thomas,P016,Training Shoes,Sports,South East,Brighton,1,99.95,0.1,89.96,52.39,37.57,Debit Card,Consumer
ORD000048,2025-06-07,C0926,Evie Clarke,P024,Electric Kettle,Home Appliances,London,London,1,49.32,0.05,46.85,25.18,21.67,Debit Card,Consumer
ORD000049,2025-02-15,C0838,Ava Hall,P030,Smart Watch,Accessories,Wales,Newport,1,226.3,0.2,181.04,135.53,45.51,Debit Card,Corporate
ORD000050,2025-09-15,C0617,Liam Davies,P019,Fitness Tracker,Sports,London,London,3,129.49,0.1,349.62,220.77,128.85,Credit Card,Consumer
ORD000051,2025-07-10,C0785,Liam Hall,P004,Bluetooth Speaker,Electronics,North West,Liverpool,3,88.17,0.05,251.28,140.22,111.06,Credit Card,Consumer
ORD000052,2025-06-23,C0605,Grace White,P010,Standing Desk,Furniture,South West,Plymouth,1,494.9,0.05,470.16,309.71,160.45,Debit Card,Consumer
ORD000053,2025-09-30,C0236,Leo Roberts,P028,Leather Wallet,Accessories,Scotland,Glasgow,2,61.56,0.15,104.65,50.88,53.77,Debit Card,Consumer
ORD000054,2025-08-06,C0961,Jacob Thompson,P026,Blender,Home Appliances,North West,Manchester,1,68.49,0.1,61.64,35.03,26.61,Debit Card,Consumer
ORD000055,2025-05-05,C0177,Oliver Thomas,P025,Toaster,Home Appliances,South East,Brighton,4,38.81,0.0,155.24,81.4,73.84,Debit Card,Consumer
ORD000056,2025-02-13,C0622,Evie Jones,P029,Travel Bag,Accessories,London,London,1,108.82,0.05,103.38,51.09,52.29,Credit Card,Small Business
ORD000057,2025-11-07,C0407,Freya Thompson,P024,Electric Kettle,Home Appliances,North East,Middlesbrough,1,47.76,0.15,40.6,25.01,15.59,PayPal,Consumer
ORD000058,2025-08-27,C0051,Mia Lewis,P001,Laptop Pro 14,Electronics,East Midlands,Nottingham,3,1027.85,0.0,3083.55,2179.71,903.84,Credit Card,Small Business
ORD000059,2025-07-11,C0680,Charlie Wright,P024,Electric Kettle,Home Appliances,North East,Middlesbrough,1,50.98,0.05,48.43,24.23,24.2,Credit Card,Corporate
ORD000060,2025-12-14,C0846,Sophie Jones,P001,Laptop Pro 14,Electronics,London,London,2,1008.2,0.0,2016.4,1458.28,558.12,Credit Card,Small Business
ORD000061,2025-10-30,C0209,Muhammad White,P029,Travel Bag,Accessories,South West,Bristol,1,109.64,0.0,109.64,52.21,57.43,Credit Card,Consumer
ORD000062,2025-06-03,C0533,Ava Hughes,P003,Wireless Headphones,Electronics,London,London,1,152.72,0.05,145.08,83.65,61.43,PayPal,Consumer
